礼 LỄ
喚 HOÁN
既 KÍ
是 THỊ
液 DỊCH
床 SÀNG
斎 TRAI
索 SÁCH
宙 TRỤ
封 PHONG
郷 HƯƠNG
忘 VONG
斉 TỀ
窓 SONG
趣 THÚ
較 GIÁC
釈 THÍCH
網 VÕNG
似 TỰ
肝 CAN
詩 THI
敷 PHU
濃 NỒNG
衣 Y
童 ĐỒNG
牛 NGƯU
郎 LANG
朗 LÃNG
乳 NHŨ
酸 TOAN
旗 KÌ
貞 TRINH
兄 HUYNH
梅 MAI
撲 PHÁC
泳 VỊNH
尊 TÔN
潮 TRIỀU
滑 HOẠT
沼 CHIỂU
鎖 TỎA
鉱 KHOÁNG
魚 NGƯ
覇 BÁ
胸 HUNG
舎 XÁ
飾 SỨC
腕 OẢN
昼 TRÚ
即 TỨC
翼 DỰC
貫 QUÁN
懇 KHẨN
浅 THIỂN
昔 TÍCH
麻 MA
緑 LỤC
寝 TẨM
敵 ĐỊCH
俳 BÀI
畑 <VƯỜN>
泰 THÁI
肩 KIÊN
旨 CHỈ
浴 DỤC
露 LỘ
炭 THAN
軸 TRỤC
慰 ÚY
砲 PHÁO
剣 KIẾM
炎 VIÊM
嫌 HIỀM
寿 THỌ
序 TỰ
矢 THỈ
滅 DIỆT
詳 TƯỜNG
陥 HÃM
輝 HUY
鳴 MINH
帝 ĐẾ
踊 DŨNG
摩 MA
牲 SINH
孤 CÔ
岐 KÌ
甘 CAM
貧 BẦN
祝 CHÚC
掘 QUẬT
膨 BÀNH
桜 ANH
縦 TUNG
竜 LONG
稼 GIÁ
牧 MỤC
腰 YÊU
脅 HIẾP
湯 THANG
魅 MỊ
耳 NHĨ
浪 LÃNG
湖 HỒ
泊 BẠC
遇 NGỘ
礎 SỞ
黄 HOÀNG
聖 THÁNH
菜 THÁI
尽 TẬN
繁 PHỒN
枝 CHI
罰 PHẠT
励 LỆ
啓 KHẢI
毒 ĐỘC
刷 LOÁT
沈 TRẦM
幼 ẤU
勇 DŨNG
賠 BỒI
